id,text
1265574109800468480,RT @bachelorette76: @DeRushaJ @CBSNews Resisting arrest is a bs charge thats made up.
1265574109796347913,i just fought a mosquito in the shower and slipped on my ass. gn😠
1265574109783773184,@BTS_twt We stan talented painters
1265574109792043013,"If i‘m weird with you, i‘m in love with you"
1265574109779496963,I’ve been awake since 3 something and cannot get back to sleep. I’m so tired of being so sad lol
1265574109783699461,"RT @AnshumanSail: Rare Video 
Pandit Jawahar Lal Nehru in interaction with kids over a film, Jal Deep which was to be dedicated to all the…"
1265574109792161792,@moony_reads Ooo I really wanna read river of teeth!
1265574109787947009,RT @AdamSandler: I sat at home with my parents and we all just stared at each other just like you’re doing now. Then the fun began. Love yo…
1265574109813096449,RT @JuiceKing5x: Being up late ain't even fun no more this shit annoying
1265574109796237313,@IDLETHICS Hi!! How are u?
1265574109779501056,RT @itsdiaryniley: Oreo is 💙 https://t.co/kYHiaryE2V
1265574109787893767,RT @muskeln4fun: @ArunasHotma @Paulboners @Gostosinh001 @PacoJonesFL @starrym101 @DMXgear @Hotgaymen4 @CuteHotBoys @HotMaleStuds @hotfitmen…
1265574109813104640,@fmtoday Punishment after accident is also an enforcement...
1265574109787967490,"RT @WSJ: The Americas have become the new center of the coronavirus pandemic, with more than 2.4 million cases and more than 143,000 deaths…"
1265574109813133313,@SadieJTorquato It's an intimate season. An acquaintance once mentioned how her family bonds during winter because… https://t.co/qzVozlNynf
1265574113969672198,RT @milk_wife: I’ve discovered the secret to having fun without drinking. it’s drugs
1265574113986465794,"RT @TREASUREGLOBAL_: Teumes~~
Please help us hype and trend YEDAM. As you already know somethings not good going around. We are hoping to s…"
1265574113982271489,RT @wizkidayo: Soul with someone else ✨
1265574113999011841,RT @Furdman02: Shoe brand named after cleaning product #SonicTheHedgehog https://t.co/bVnffjYwmg
1265574113994838017,RT @jiminticaI: bang pd and managers watching jimin performing serendipity https://t.co/avhXIPHQ6U
1265574113990586373,@sikkimgovt Memories refreshed
1265574113994735617,@evilspirtt @xojaylin Power.
1265574113982234624,"RT @MultiMoots: k-pop accounts, fast! retweet this to gain multifandom mutuals! follow me and everyone who retweets and likes this and make…"
1265574113994838016,"RT @marclamonthill: We cannot buy into the ""perfect victim"" narratives circulating about Christian Cooper. Yes, there is something satisfyi…"
1265574113998970880,@chimlovs what was the reason.
1265574113990582272,"Kisii County Shortlisted candidates for Internship Programme - https://t.co/0696tFjp7H
#IkoKaziKe  #PataKaziKe #... https://t.co/H2LVBporjr"
1265574118172303361,"RT @Abhishek_kunche: Follow Our Dhfm 
👇
👇
👇
@VaruntejaI 
63 More For 100 Family ❤👌
100% Follow Back 
#maheshbabu 
#SSMB27 
#SarkarVaariPaat…"
1265574118189121536,"RT @squishyychenle: CHENLE OPENED A WEIBO ACCOUNT !! @KHCHENLE

“Hello everyone hahaha I finally am able to share more interesting things o…"
1265574118184882176,@teiahimanii must b nice
1265574118176575488,RT @latteggyu: twitter is crazy because i can post these images and everyone knows who i’m talking about. https://t.co/MaC7A0FQdu
1265574118180691970,RT @yourlocalfemib1: @FlNEGOLDEN how bout stan both and be unproblematic. https://t.co/PmHlpawbFo
1265574118176555010,RT @B_hundred_Hyun: @yeolmaex Thank you ! 🥰
1265574118201667590,RT @ShaniaTwangg: You’re more likely to regret a marriage than a tattoo. Get that ink bby.
1265574118176567298,"@Sundip That’s absolutely unacceptable, the media is a desgraces leftists ..."
1265574118189084674,micro managing @ it’s finest
1265574118197473281,"RT @chloebraelynn: Road 12k. ❤️ Drop your twitter username and follow whoever likes your comment!! 🥳 Follow Me First!

Auto plug sa mag ret…"
1265574118172364800,Remeber when twitter was going at it when a mom and her daughter were on a pole having fun not doing anything remot… https://t.co/ky6mHlEdoJ
1265574122358276106,sigh
1265574122370842625,RT @deeryeo: NCT 127 Punch is being nominated on Show Champion today! praying 🙏 https://t.co/MyDZYlcfI2
1265574122370863111,RT @imanopie: why are so many people going out and meeting their friends :// the pandemic is still going on and its so irresponsible :(
1265574122366648320,"RT @larealleche: This nigga has all the advantage😈🔥 

RT AND FOLLOW ME😼 https://t.co/cfJ2ZEoY2f"
1265574122383462400,RT @alienslegion: I liked this movie a lot https://t.co/bGvAebUzv2
1265574122391814146,RT @WilliamYang120: It is really hard to imagine how will the situation in #HongKong escalate once the national security law is enacted. As…
